FileName,ObservedScore_Label,ObservedScore,CalculatedScore,Capacity_mAh,SOC_pct,MaxDisplacement,ForceRate,VoltageAtCollapse,MaxTemperature,TempRateOfRise,VoltageDifference,source,ts_voltage_initial,ts_voltage_final,ts_voltage_drop,ts_voltage_min,ts_voltage_mean,ts_voltage_std,ts_voltage_collapse,ts_temp_max,ts_temp_initial,ts_temp_rise,ts_temp_rate_max,ts_force_max,ts_force_mean,ts_force_final,ts_disp_max,ts_disp_final,ts_test_duration,dataset_type,session,session_type
OE-10Ahr-NMC-0SOC-cell1,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",4,37.0929066410222,10000,0.0,28.13879159992521,18.52078170776367,1.2666666666666668,99.75447082519533,77.98223876953125,3.09,TR_V1,3.365,0.273,3.092,0.272,2.2415326086956524,1.3265560708520931,1816.0,99.75447,22.10702,77.64744999999999,13.266180000000006,21.497,-61.627120027752085,18.863,,,401.226,thermal_runaway,,
OE-10Ahr-NMC-0SOC-cell1,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",4,37.0929066410222,10000,0.0,28.13879159992521,18.52078170776367,1.2666666666666668,99.75447082519533,77.98223876953125,3.09,TR_V1,3.365,0.273,3.092,0.272,2.2415326086956524,1.3265560708520931,1816.0,99.75447,22.10702,77.64744999999999,13.266180000000006,21.497,-61.627120027752085,18.863,,,401.226,thermal_runaway,,
OE-10Ahr-NMC-0SOC-cell2,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,28.548792587377385,10000,0.0,27.60314884449815,10.5123104095459,1.2666666666666668,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
OE-LFP10Ah-80SOC-Cell15,"No effect, local heating, internal discharge – 2",2,40.17749123372635,10000,80.0,24.097789714713898,1.5797015190124513,25.333333333333336,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
LFP10Ah-60SOC-Cell17,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,33.17794976124558,10000,60.0,24.100838700824905,0.9104443937540054,19.0,53.68330001831055,3.8334500789642334,0.0630000000000001,TR_V1,3.298,3.235,0.06300000000000017,3.172,3.260369467520088,0.0391552808277619,0.0,53.6833,16.95418,36.72912,0.7481600000000022,8.888,-118.27394007898678,-123.378,,,728.699999999964,thermal_runaway,,
Soteria-SCC-4720mAh-40SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,5.0,4720,40.0,20.365593842636848,0.2071699686348438,5.978666666666667,27.371519088745117,0.8722946047782898,0.0110000000000001,TR_V1,3.685,3.674,0.01100000000000012,3.669,3.6794633637053913,0.004411265270456754,0.0,27.37152,23.23089,4.140630000000002,0.13607999999999976,8.675,-157.27319286256642,-154.18,,,509.558,thermal_runaway,,
Soteria-SCC-4700mAh-100SOC-12mm,"No effect, instant local Joule heating, no internal discharge – 1",1,5.0,4700,100.0,20.26365629565802,0.2028302736580371,14.883333333333333,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
OE-LFP-cell14-60SOC-10Ah,"No effect, local heating, internal discharge – 2",2,36.419752623487,10000,60.0,24.373702154406395,3.879383802413941,19.0,,,,TR_V1,3.295,3.246,0.04899999999999993,3.226,3.2556068939536638,0.024953802786134925,0.0,56.15605,22.397,33.75905,3.1374700000000004,2.215,-187.7191849689207,-187.099,,,617.309,thermal_runaway,,
OE-LFP10Ah-80SOC-cell13,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,41.70631769535451,10000,80.0,25.58638237950711,1.6199353158473968,25.333333333333336,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
OE-LFP10Ah-60SOC,"No effect, local heating, internal discharge – 2",2,36.36049539944331,10000,60.0,26.777509255218508,1.416319477558136,19.0,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
500mAh1-20S0C,"No effect, local heating, internal discharge – 2",2,14.427464368051668,500,20.0,23.526849791513264,0.4672812432050705,1.2666666666666668,48.749000549316406,1.9674999713897705,3.74572754,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
500mAh1-40S0C,"No effect, local heating, internal discharge – 2",2,17.623941157112277,500,40.0,25.09565991843716,0.8282812386751175,2.5333333333333337,63.11100006103515,3.487499952316284,3.77532959,TR_V1,3.78143311,0.00640869,3.77502442,-0.05950928,0.4330314061069182,1.1233977700514244,11435.0,63.111,23.832,39.278999999999996,0.7389999999999972,2.198291016672,-117.29645750747103,-110.88588867501599,,,1433.1,thermal_runaway,,
500mAh1-40S0C,"No effect, local heating, internal discharge – 2",2,17.623941157112277,500,40.0,25.09565991843716,0.8282812386751175,2.5333333333333337,63.11100006103515,3.487499952316284,3.77532959,TR_V1,3.78143311,0.00640869,3.77502442,-0.05950928,0.4330314061069182,1.1233977700514244,11435.0,63.111,23.832,39.278999999999996,0.7389999999999972,2.198291016672,-117.29645750747103,-110.88588867501599,,,1433.1,thermal_runaway,,
500mAh1-60S0C,"No effect, local heating, internal discharge – 2",2,22.042717191175,500,60.0,27.64570676544843,1.430343759059906,3.8,92.94400024414062,6.022500038146973,3.8684082,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
500mAh1-80S0C,"No effect, local heating, internal discharge – 2",2,24.199762972330163,500,80.0,27.82516924950988,0.874593722820282,6.333333333333334,95.38099670410156,3.682499885559082,3.99505615,TR_V1,3.99810791,0.00244141,3.9956665,-0.05706787,0.3620667322813099,1.0631494626526414,12487.0,95.381,23.816,71.565,0.777000000000001,0.9713378916720001,-105.0823859105787,-94.373144533344,,,1542.2,thermal_runaway,,
500mAh1-100S0C,"No effect, local heating, internal discharge – 2",2,24.266111321794135,500,100.0,26.43940296128109,0.743375027179718,7.916666666666668,77.75299835205078,3.130000114440918,4.12963868,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
500mAh2-20S0C,"No effect, local heating, internal discharge – 2",2,16.16521561509925,500,20.0,25.006913529500935,0.7249687522649765,1.2666666666666668,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
500mAh2-40S0C,"No effect, local heating, internal discharge – 2",2,20.675375382438716,500,40.0,27.450229521925667,0.891812527179718,3.166666666666667,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
